,team_id,team_name,group
0,281,manchester-city,Grupo A
1,583,fc-paris-saint-germain,Grupo A
2,23826,rasenballsport-leipzig,Grupo A
3,2282,fc-brugge,Grupo A
4,31,fc-liverpool,Grupo B
5,13,atletico-madrid,Grupo B
6,720,fc-porto,Grupo B
7,5,ac-mailand,Grupo B
8,610,ajax-amsterdam,Grupo C
9,336,sporting-lissabon,Grupo C
10,16,borussia-dortmund,Grupo C
11,114,besiktas-istanbul,Grupo C
12,418,real-madrid,Grupo D
13,46,inter-mailand,Grupo D
14,2481,fc-sheriff-tiraspol,Grupo D
15,660,shakhtar-donetsk,Grupo D
16,27,fc-bayern-munchen,Grupo E
17,294,benfica-lissabon,Grupo E
18,131,fc-barcelona,Grupo E
19,338,dynamo-kiew,Grupo E
20,985,manchester-united,Grupo F
21,1050,fc-villarreal,Grupo F
22,800,atalanta-bergamo,Grupo F
23,452,bsc-young-boys,Grupo F
24,1082,losc-lille,Grupo G
25,409,red-bull-salzburg,Grupo G
26,368,fc-sevilla,Grupo G
27,82,vfl-wolfsburg,Grupo G
28,506,juventus-turin,Grupo H
29,631,fc-chelsea,Grupo H
30,964,zenit-st-petersburg,Grupo H
31,496,malmo-ff,Grupo H
