,year,team_name,ball_possession
0,2015,Leicester City,9.9
1,2015,Tottenham Hotspur,9.9
2,2015,Manchester United,9.9
3,2015,West Ham United,9.9
4,2015,Stoke City,9.9
5,2015,Everton FC,9.9
6,2015,Watford FC,9.9
7,2015,Crystal Palace,9.9
8,2015,Sunderland AFC,9.9
9,2015,Norwich City,9.9
10,2015,Arsenal FC,9.9
11,2015,Manchester City,9.9
12,2015,Southampton FC,9.9
13,2015,Liverpool FC,9.9
14,2015,Chelsea FC,9.9
15,2015,Swansea City,9.9
16,2015,West Bromwich Albion,9.9
17,2015,AFC Bournemouth,9.9
18,2015,Newcastle United,9.9
19,2015,Aston Villa,9.9
20,2016,Chelsea FC,9.9
21,2016,Manchester City,9.9
22,2016,Arsenal FC,9.9
23,2016,Everton FC,9.9
24,2016,AFC Bournemouth,9.9
25,2016,West Ham United,9.9
26,2016,Stoke City,9.9
27,2016,Swansea City,9.9
28,2016,Watford FC,9.9
29,2016,Middlesbrough FC,9.9
30,2016,Tottenham Hotspur,9.9
31,2016,Liverpool FC,9.9
32,2016,Manchester United,9.9
33,2016,Southampton FC,9.9
34,2016,West Bromwich Albion,9.9
35,2016,Leicester City,9.9
36,2016,Crystal Palace,9.9
37,2016,Burnley FC,9.9
38,2016,Hull City,9.9
39,2016,Sunderland AFC,9.9
40,2017,Manchester City,9.9
41,2017,Tottenham Hotspur,9.9
42,2017,Chelsea FC,9.9
43,2017,Burnley FC,9.9
44,2017,Leicester City,9.9
45,2017,Crystal Palace,9.9
46,2017,West Ham United,9.9
47,2017,Brighton & Hove Albion,9.9
48,2017,Southampton FC,9.9
49,2017,Stoke City,9.9
50,2017,Manchester United,9.9
51,2017,Liverpool FC,9.9
52,2017,Arsenal FC,9.9
53,2017,Everton FC,9.9
54,2017,Newcastle United,9.9
55,2017,AFC Bournemouth,9.9
56,2017,Watford FC,9.9
57,2017,Huddersfield Town,9.9
58,2017,Swansea City,9.9
59,2017,West Bromwich Albion,9.9
60,2019,Liverpool FC,64.4
61,2019,Manchester United,54.5
62,2019,Leicester City,57.2
63,2019,Wolverhampton Wanderers,48.5
64,2019,Sheffield United,43.3
65,2019,Southampton FC,51.6
66,2019,Newcastle United,41.8
67,2019,Brighton & Hove Albion,50.1
68,2019,Aston Villa,43.8
69,2019,Watford FC,39.8
70,2019,Manchester City,68.7
71,2019,Chelsea FC,62.4
72,2019,Tottenham Hotspur,51.0
73,2019,Arsenal FC,53.1
74,2019,Burnley FC,41.2
75,2019,Everton FC,46.5
76,2019,Crystal Palace,43.4
77,2019,West Ham United,42.9
78,2019,AFC Bournemouth,44.1
79,2019,Norwich City,49.2
80,2020,Manchester City,64.3
81,2020,Liverpool FC,62.2
82,2020,Leicester City,54.9
83,2020,Tottenham Hotspur,51.5
84,2020,Leeds United,57.5
85,2020,Aston Villa,48.2
86,2020,Wolverhampton Wanderers,49.3
87,2020,Southampton FC,51.3
88,2020,Burnley FC,41.1
89,2020,West Bromwich Albion,37.6
90,2020,Manchester United,56.0
91,2020,Chelsea FC,61.7
92,2020,West Ham United,42.7
93,2020,Arsenal FC,53.6
94,2020,Everton FC,46.9
