,club_name,club_link,club_id,league,season,club_age,club_tmv
0,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,631,Premier League,2015,24.7,553500000
1,Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,281,Premier League,2015,25.4,499350000
2,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,11,Premier League,2015,24.7,457850000
3,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2015,985,Premier League,2015,23.5,439850000
4,Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2015,31,Premier League,2015,23.4,375250000
5,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2015,148,Premier League,2015,23.7,371850000
6,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2015,29,Premier League,2015,25.7,249850000
7,Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2015,180,Premier League,2015,25.0,225500000
8,West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2015,379,Premier League,2015,24.2,201330000
9,Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2015,762,Premier League,2015,24.5,198000000
10,Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2015,1003,Premier League,2015,26.9,161100000
11,Stoke City,https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2015,512,Premier League,2015,27.3,147000000
12,Swansea City,https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2015,2288,Premier League,2015,25.8,145800000
13,Watford FC,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2015,1010,Premier League,2015,27.4,137000000
14,Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2015,873,Premier League,2015,26.6,135700000
15,Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2015,405,Premier League,2015,24.5,117950000
16,Norwich City,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2015,1123,Premier League,2015,26.6,116900000
17,West Bromwich Albion,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2015,984,Premier League,2015,26.4,113100000
18,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2015,289,Premier League,2015,26.5,111250000
19,AFC Bournemouth,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2015,989,Premier League,2015,25.1,99900000
20,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2016,631,Premier League,2016,24.8,686700000
21,Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,281,Premier League,2016,26.4,576500000
22,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2016,148,Premier League,2016,23.7,543650000
23,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2016,11,Premier League,2016,24.7,542000000
24,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2016,985,Premier League,2016,24.4,531450000
25,Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2016,31,Premier League,2016,24.4,425650000
26,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2016,29,Premier League,2016,25.9,311250000
27,West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2016,379,Premier League,2016,24.7,273050000
28,Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2016,180,Premier League,2016,25.3,263750000
29,Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2016,873,Premier League,2016,26.1,228430000
30,Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2016,1003,Premier League,2016,26.6,218650000
