,club_name,club_formatted_name,club_id,league,season,club_age,club_tmv
0,Chelsea FC,fc-chelsea,631,Premier League,2015,24.7,553500000
1,Manchester City,manchester-city,281,Premier League,2015,25.4,499350000
2,Arsenal FC,fc-arsenal,11,Premier League,2015,24.7,457850000
3,Manchester United,manchester-united,985,Premier League,2015,23.5,439850000
4,Liverpool FC,fc-liverpool,31,Premier League,2015,23.4,375250000
5,Tottenham Hotspur,tottenham-hotspur,148,Premier League,2015,23.7,371850000
6,Everton FC,fc-everton,29,Premier League,2015,25.7,249850000
7,Southampton FC,fc-southampton,180,Premier League,2015,25.0,225500000
8,West Ham United,west-ham-united,379,Premier League,2015,24.2,201330000
9,Newcastle United,newcastle-united,762,Premier League,2015,24.5,198000000
10,Leicester City,leicester-city,1003,Premier League,2015,26.9,161100000
11,Stoke City,stoke-city,512,Premier League,2015,27.3,147000000
12,Swansea City,swansea-city,2288,Premier League,2015,25.8,145800000
13,Watford FC,fc-watford,1010,Premier League,2015,27.4,137000000
14,Crystal Palace,crystal-palace,873,Premier League,2015,26.6,135700000
15,Aston Villa,aston-villa,405,Premier League,2015,24.5,117950000
16,Norwich City,norwich-city,1123,Premier League,2015,26.6,116900000
17,West Bromwich Albion,west-bromwich-albion,984,Premier League,2015,26.4,113100000
18,Sunderland AFC,afc-sunderland,289,Premier League,2015,26.5,111250000
19,AFC Bournemouth,afc-bournemouth,989,Premier League,2015,25.1,99900000
20,Chelsea FC,fc-chelsea,631,Premier League,2016,24.8,686700000
21,Manchester City,manchester-city,281,Premier League,2016,26.4,576500000
22,Tottenham Hotspur,tottenham-hotspur,148,Premier League,2016,23.7,543650000
23,Arsenal FC,fc-arsenal,11,Premier League,2016,24.7,542000000
24,Manchester United,manchester-united,985,Premier League,2016,24.4,531450000
25,Liverpool FC,fc-liverpool,31,Premier League,2016,24.4,425650000
26,Everton FC,fc-everton,29,Premier League,2016,25.9,311250000
27,West Ham United,west-ham-united,379,Premier League,2016,24.7,273050000
28,Southampton FC,fc-southampton,180,Premier League,2016,25.3,263750000
29,Crystal Palace,crystal-palace,873,Premier League,2016,26.1,228430000
30,Leicester City,leicester-city,1003,Premier League,2016,26.6,218650000
31,Stoke City,stoke-city,512,Premier League,2016,27.1,186000000
32,Watford FC,fc-watford,1010,Premier League,2016,26.8,175650000
33,Swansea City,swansea-city,2288,Premier League,2016,26.9,157100000
34,Hull City,hull-city,3008,Premier League,2016,26.0,135850000
35,Sunderland AFC,afc-sunderland,289,Premier League,2016,25.3,132000000
36,AFC Bournemouth,afc-bournemouth,989,Premier League,2016,24.4,131600000
