,year,team_name,total_shot,total_shot_at_target,goals,goals_shot_ratio
0,2015,Leicester City,365,183,68,18.6
1,2015,Manchester City,422,219,71,16.8
2,2015,Manchester United,299,161,49,16.4
3,2015,Chelsea FC,374,192,59,15.8
4,2015,Swansea City,273,137,42,15.4
5,2015,Tottenham Hotspur,456,260,69,15.1
6,2015,AFC Bournemouth,301,142,45,15.0
7,2015,Watford FC,298,148,40,13.4
8,2015,Stoke City,309,137,41,13.3
9,2015,Crystal Palace,329,168,39,11.9
10,2015,Everton FC,329,191,59,17.9
11,2015,West Ham United,390,193,65,16.7
12,2015,Arsenal FC,406,232,65,16.0
13,2015,Southampton FC,380,174,59,15.5
14,2015,Sunderland AFC,316,156,48,15.2
15,2015,Newcastle United,292,160,44,15.1
16,2015,Liverpool FC,430,228,63,14.7
17,2015,Norwich City,291,132,39,13.4
18,2015,West Bromwich Albion,257,107,34,13.2
19,2015,Aston Villa,268,123,27,10.1
20,2016,Chelsea FC,406,207,85,20.9
21,2016,Everton FC,336,188,62,18.5
22,2016,Manchester City,452,222,80,17.7
23,2016,Tottenham Hotspur,489,266,86,17.6
24,2016,Leicester City,300,147,48,16.0
25,2016,Swansea City,297,145,45,15.2
26,2016,Burnley FC,268,125,39,14.6
27,2016,Watford FC,292,143,40,13.7
28,2016,Manchester United,414,209,54,13.0
29,2016,Middlesbrough FC,238,100,27,11.3
30,2016,Arsenal FC,387,205,77,19.9
31,2016,Liverpool FC,421,230,78,18.5
32,2016,AFC Bournemouth,310,160,55,17.7
33,2016,Crystal Palace,295,137,50,16.9
34,2016,West Bromwich Albion,281,131,43,15.3
35,2016,West Ham United,312,136,47,15.1
36,2016,Stoke City,290,137,41,14.1
37,2016,Hull City,282,123,37,13.1
38,2016,Sunderland AFC,249,126,29,11.6
39,2016,Southampton FC,384,191,41,10.7
40,2017,Manchester City,509,272,106,20.8
41,2017,Leicester City,294,152,56,19.0
42,2017,Arsenal FC,423,236,74,17.5
43,2017,Tottenham Hotspur,429,222,74,17.2
44,2017,Chelsea FC,422,223,62,14.7
45,2017,Watford FC,316,138,44,13.9
46,2017,Burnley FC,266,125,36,13.5
47,2017,Brighton & Hove Albion,277,124,34,12.3
48,2017,Swansea City,235,105,28,11.9
49,2017,Southampton FC,325,147,37,11.4
50,2017,Manchester United,346,182,68,19.7
51,2017,Liverpool FC,462,236,84,18.2
52,2017,West Ham United,278,140,48,17.3
53,2017,Everton FC,264,122,44,16.7
54,2017,AFC Bournemouth,319,159,45,14.1
55,2017,Crystal Palace,329,149,45,13.7
56,2017,Stoke City,281,130,35,12.5
57,2017,Newcastle United,319,151,39,12.2
58,2017,Huddersfield Town,243,114,28,11.5
59,2017,West Bromwich Albion,276,112,31,11.2
60,2018,Arsenal FC,348,177,73,21.0
61,2018,Manchester City,489,261,95,19.4
62,2018,Tottenham Hotspur,394,198,67,17.0
63,2018,Burnley FC,271,118,45,16.6
64,2018,West Ham United,319,154,52,16.3
65,2018,Chelsea FC,405,201,63,15.6
66,2018,Leicester City,374,185,51,13.6
67,2018,Wolverhampton Wanderers,355,157,47,13.2
