Unnamed: 0,player_id,player_name,birthdate,height,main_position,national_team,foot
0.0,148657.0,Tomas Kalas,1993-05-15,184.0,Centre-Back,Czechia,right
1.0,136610.0,Papy Djilobodji,1988-12-01,193.0,Centre-Back,Senegal,left
2.0,157509.0,Kurt Zouma,1994-10-27,190.0,Centre-Back,France,right
3.0,3160.0,John Terry,1980-12-07,187.0,Centre-Back,England,right
4.0,16810.0,Marco Amelia,1982-04-02,190.0,Goalkeeper,Italy,right
5.0,27511.0,Gary Cahill,1985-12-19,193.0,Centre-Back,England,right
6.0,33873.0,Asmir Begovic,1987-06-20,199.0,Goalkeeper,Bosnia,right
7.0,128898.0,Jamal Blackman,1993-10-27,199.0,Goalkeeper,England U21,right
8.0,108390.0,Thibaut Courtois,1992-05-11,200.0,Goalkeeper,Belgium,left
9.0,157490.0,Michael Hector,1992-07-19,193.0,Centre-Back,Jamaica,right
10.0,36827.0,Branislav Ivanovic,1984-02-22,185.0,Right-Back,Serbia,right
11.0,245893.0,Matt Miazga,1995-07-19,193.0,Centre-Back,USA,right
12.0,316551.0,Jake Clarke Salter,1997-09-22,188.0,Centre-Back,England U21,left
13.0,57500.0,Cesar Azpilicueta,1989-08-28,178.0,Right-Back,Spain,right
14.0,303254.0,Fikayo Tomori,1997-12-19,185.0,Centre-Back,England,right
15.0,224884.0,Abdul Rahman Baba,1994-07-02,179.0,Left-Back,Ghana,left
16.0,30739.0,Mikel John Obi,1987-04-22,188.0,Defensive Midfield,Nigeria,right
17.0,236490.0,Ola Aina,1996-10-08,184.0,Right-Back,Nigeria,right
18.0,74683.0,Nemanja Matic,1988-08-01,194.0,Defensive Midfield,Serbia,left
19.0,8806.0,Cesc Fabregas,1987-05-04,179.0,Central Midfield,Spain,right
20.0,85314.0,Oscar,1991-09-09,179.0,Attacking Midfield,Brazil,right
21.0,176485.0,Lucas Piazon,1994-01-20,182.0,Attacking Midfield,Brazil U23,right
22.0,202886.0,Ruben Loftus Cheek,1996-01-23,191.0,Central Midfield,England,right
23.0,91970.0,Juan Cuadrado,1988-05-26,176.0,Right Midfield,Colombia,right
24.0,54170.0,Ramires,1987-03-24,179.0,Central Midfield,Brazil,right
25.0,59866.0,Victor Moses,1990-12-12,177.0,Right Midfield,Nigeria,right
26.0,236496.0,Charlie Colkett,1996-09-04,176.0,Central Midfield,England U20,left
27.0,50202.0,Eden Hazard,1991-01-07,175.0,Left Winger,Belgium,right
28.0,52769.0,Willian,1988-08-09,175.0,Left Winger,Brazil,right
29.0,281404.0,Kenedy,1996-02-08,182.0,Left Winger,Brazil U23,left
30.0,258216.0,Kasey Palmer,1996-11-09,175.0,Attacking Midfield,Jamaica,right
31.0,65278.0,Pedro,1987-07-28,167.0,Right Winger,Spain,both
32.0,131996.0,Bertrand Traore,1995-09-06,181.0,Right Winger,Burkina Faso,left
33.0,210202.0,James Horsfield,1995-11-30,178.0,midfield,,right
34.0,44779.0,Diego Costa,1988-10-07,186.0,Centre-Forward,Spain,right
35.0,39152.0,Radamel Falcao,1986-02-10,177.0,Centre-Forward,Colombia,right
36.0,45121.0,Loic Remy,1987-01-02,185.0,Centre-Forward,France,right
37.0,37579.0,Alexandre Pato,1989-09-02,180.0,Centre-Forward,Brazil,right
38.0,183334.0,Patrick Bamford,1993-09-05,185.0,Centre-Forward,England,left
39.0,19948.0,Willy Caballero,1981-09-28,186.0,Goalkeeper,Argentina,right
40.0,40204.0,Joe Hart,1987-04-19,196.0,Goalkeeper,England,right
41.0,54781.0,Nicolas Otamendi,1988-02-12,183.0,Centre-Back,Argentina,right
42.0,331726.0,Tammy Abraham,1997-10-02,194.0,Centre-Forward,England,right
43.0,3120.0,Richard Wright,1977-11-05,190.0,Goalkeeper,England,right
44.0,9594.0,Vincent Kompany,1986-04-10,190.0,Centre-Back,Belgium,right
45.0,277114.0,Jason Denayer,1995-06-28,184.0,Centre-Back,Belgium,right
46.0,2963.0,Martin Demichelis,1980-12-20,184.0,Centre-Back,Argentina,right
47.0,277179.0,Angelino,1997-01-04,171.0,Left-Back,Spain U21,left
48.0,277723.0,Cameron Humphreys,1998-08-22,187.0,Centre-Back,England U19,right
49.0,7449.0,Gael Clichy,1985-07-26,176.0,Left-Back,France,left
50.0,258878.0,Tosin Adarabioyo,1997-09-24,196.0,Centre-Back,England U19,right
51.0,15956.0,Jesus Navas,1985-11-21,172.0,Right-Back,Spain,right
52.0,26764.0,Bacary Sagna,1983-02-14,176.0,Right-Back,France,right
