,player_id,player_name,birthdate,height,main_position,national_team,foot
0,33873,asmir-begovic,1987-06-20,199 ,Goalkeeper,Bosnia,right
1,157509,kurt-zouma,1994-10-27,190 ,Centre-Back,France,right
2,16810,marco-amelia,1982-04-02,190 ,Goalkeeper,Italy,right
3,108390,thibaut-courtois,1992-05-11,200 ,Goalkeeper,Belgium,left
4,128898,jamal-blackman,1993-10-27,199 ,Goalkeeper,England U21,right
5,27511,gary-cahill,1985-12-19,193 ,Centre-Back,England,right
6,136610,papy-djilobodji,1988-12-01,193 ,Centre-Back,Senegal,left
7,177476,nathan-ake,1995-02-18,180 ,Centre-Back,Netherlands,left
8,3160,john-terry,1980-12-07,187 ,Centre-Back,England,right
9,148657,tomas-kalas,1993-05-15,184 ,Centre-Back,Czechia,right
10,245893,matt-miazga,1995-07-19,193 ,Centre-Back,USA,right
11,157490,michael-hector,1992-07-19,193 ,Centre-Back,Jamaica,right
12,303254,fikayo-tomori,1997-12-19,185 ,Centre-Back,England,right
13,316551,jake-clarke-salter,1997-09-22,188 ,Centre-Back,England U21,left
14,224884,abdul-rahman-baba,1994-07-02,179 ,Left-Back,Ghana,left
15,57500,cesar-azpilicueta,1989-08-28,178 ,Right-Back,Spain,right
16,36827,branislav-ivanovic,1984-02-22,185 ,Right-Back,Serbia,right
17,30739,mikel-john-obi,1987-04-22,188 ,Defensive Midfield,Nigeria,right
18,236490,ola-aina,1996-10-08,184 ,Right-Back,Nigeria,right
19,74683,nemanja-matic,1988-08-01,194 ,Defensive Midfield,Serbia,left
20,8806,cesc-fabregas,1987-05-04,179 ,Central Midfield,Spain,right
21,202886,ruben-loftus-cheek,1996-01-23,191 ,Central Midfield,England,right
22,54170,ramires,1987-03-24,179 ,Central Midfield,Brazil,right
23,236496,charlie-colkett,1996-09-04,176 ,Central Midfield,England U20,left
24,59866,victor-moses,1990-12-12,177 ,Right Midfield,Nigeria,right
25,91970,juan-cuadrado,1988-05-26,176 ,Right Midfield,Colombia,right
26,85314,oscar,1991-09-09,179 ,Attacking Midfield,Brazil,right
27,176485,lucas-piazon,1994-01-20,182 ,Attacking Midfield,Brazil U23,right
28,258216,kasey-palmer,1996-11-09,175 ,Attacking Midfield,Jamaica,right
29,50202,eden-hazard,1991-01-07,175 ,Left Winger,Belgium,right
30,52769,willian,1988-08-09,175 ,Left Winger,Brazil,right
31,281404,kenedy,1996-02-08,182 ,Left Winger,Brazil U23,left
32,65278,pedro,1987-07-28,167 ,Right Winger,Spain,both
33,131996,bertrand-traore,1995-09-06,181 ,Right Winger,Burkina Faso,left
34,37579,alexandre-pato,1989-09-02,180 ,Centre-Forward,Brazil,right
35,44779,diego-costa,1988-10-07,186 ,Centre-Forward,Spain,right
36,39152,radamel-falcao,1986-02-10,177 ,Centre-Forward,Colombia,right
37,45121,loic-remy,1987-01-02,185 ,Centre-Forward,France,right
38,183334,patrick-bamford,1993-09-05,185 ,Centre-Forward,England,left
39,210202,james-horsfield,1995-11-30,178 ,midfield,,right
40,331726,tammy-abraham,1997-10-02,194 ,Centre-Forward,England,right
41,40204,joe-hart,1987-04-19,196 ,Goalkeeper,England,right
42,19948,willy-caballero,1981-09-28,186 ,Goalkeeper,Argentina,right
43,54781,nicolas-otamendi,1988-02-12,183 ,Centre-Back,Argentina,right
44,9594,vincent-kompany,1986-04-10,190 ,Centre-Back,Belgium,right
45,3120,richard-wright,1977-11-05,190 ,Goalkeeper,England,right
46,90681,eliaquim-mangala,1991-02-13,187 ,Centre-Back,France,left
47,277114,jason-denayer,1995-06-28,184 ,Centre-Back,Belgium,right
48,2963,martin-demichelis,1980-12-20,184 ,Centre-Back,Argentina,right
49,46156,aleksandar-kolarov,1985-11-10,187 ,Left-Back,Serbia,left
50,258878,tosin-adarabioyo,1997-09-24,196 ,Centre-Back,England U19,right
51,277723,cameron-humphreys,1998-08-22,187 ,Centre-Back,England U19,right
52,7449,gael-clichy,1985-07-26,176 ,Left-Back,France,left
